Index,LENGUA_Y,LENGUA_Y2,AUTOR_APELLIDO,AUTOR_NOMBRE,AUTORES2,SEXO,AÑO,MS,TITULO,DATOS_B,IDIOMA,PAIS,ACCESO,N1,N2,BASE
146,Maricopa,,Gordon,Lynn,,M,1983,,"Switch reference, clause order, and interclausal relationships in Maricopa.","Switch reference and universal grammar, ed. By John Haiman and Pamela Munro, 83-104. Philadelphia: John Benjamins Publishing Company.",Inglés,USA,Si,sintaxis,pragmatica discursiva,Langdon
147,Tolkapaya,,Gordon,Lynn,,M,nd,ms,Some Tolkapaya complement clauses,n,Inglés,USA,No,sintaxis,n,Langdon
148,Maricopa,,Gordon,Lynn,,M,nd,ms,Maricopa dictionary,n,Inglés,USA,No,lexicosemántico,n,Langdon
149,Diegueño,,Grant,Anthony P.,,H,1992,,"The vocabularies of Scouler, Tolmie and Coulter: A reappraisal.","Papers from the 1992 Hokan-Penutian Languages Conference and the J.P. Harrington Conference at UCSB and Museum of Natural History, Sianta Barbara, ed. By James E. Redden 20-44 (Occasional Papers on Linguistics 17). Departament of Linguistics. Southern Illinois University Carbondale).",Inglés,USA,Si,documentación,n,Langdon
150,Cocopa,,Gumpel,Susan Sharon,,M,1975,ms,Cocopa: text analysis,n,Inglés,USA,No,documentación,n,Langdon
151,Yumanas,,Kroeber,A. L.,,H,1905,,Supposed Shoshoneans in Lower California.,American Anthropologist n.s. 7.570-572. [Dispells the mistaken notion of Uto-Aztecan languages spoken in Lower California; confirms the languages in question are Yuman.],Inglés,USA,No,descripción,n,Langdon
152,Yumanas,,Kroeber,A. L.,,H,1943,,Classification of the Yuman languages,University of California Publications in Linguistics 1.21-40.,Inglés,USA,No,descripción,n,Langdon
153,Yuma,,Halpern,A. M.,,H,1946,,Yuma,Linguistic structures of Native America. Viking Fund publications in anthropology 6.249-288,Inglés,USA,No,descripción,n,Langdon
154,Yuma,,Halpern,A. M.,,H,1946,,"Yuma I, II, III","International Journal of American Linguistics 12.25-33, 147-151, 204-212",Inglés,USA,Si,descripción,n,Langdon
155,Yuma,,Halpern,A. M.,,H,1947,,"Yuma IV, V, VI","International Journal of American Linguistics 12.25-33, 147-151, 204-212",Inglés,USA,Si,descripción,n,Langdon
156,Yumanas,,Winter,Werner,,H,1957,,Yuman languages I: first impressions,International Journal of American Linguistics 23.18-23.,Inglés,USA,Si,descripción,n,Langdon
157,Yavapai,,Mierau,E.,,S,1963,,Concerning Yavapai-Apache bilingualism,International Journal of American Linguistics 29.1-3. [Reports on phonetic differences between native Apache and Apache as a second language for native speakers of Yavapai; lists phonemes of Yavapai.],Inglés,USA,Si,descripción,n,Langdon
158,Pa ipai,,Joël,Judith,,M,1964,,Classification of the Yuman languages,"Studies in Californian linguistics, ed. by William Bright 99-105.University of California Publications in Linguistics 34.",Inglés,USA,Si,descripción,n,Langdon
159,Diegueño,,Langdon,Margaret,,M,1966,,A grammar of Diegueño: The Mesa Grande dialecL,UC Berkeley dissertation.,Inglés,USA,No,descripción,n,Langdon
160,Diegueño,,Harries,Helga,,M,1968,ms,Diegueño [a survey of the structure of Northern Diegueño based on Langdon's 1966 doctoral dissertation],n,Inglés,USA,No,descripción,n,Langdon
161,Yumanas,,Langdon,Margaret,,M,1968,,The Proto-Yuman demonstrative system,Folia Linguistica 2.1/2.61-81.,Inglés,USA,Si,descripción,n,Langdon
162,Diegueño,,Langdon,Margaret,,M,1970,,A Grammar of Diegueño: The Mesa Grande dialect,n,Inglés,USA,Si,descripción,n,Langdon
163,Diegueño,,Langdon,Margaret,,M,1970,ms,Diegueño dialects,n,Inglés,USA,Si,descripción,n,Langdon
164,Kiliwa,,Mixco,Mauricio J.,,H,1970,ms,Kiliwa and Proto-Yuman reconstruction.,n,Inglés,USA,No,descripción,n,Langdon
165,Kiliwa,,Mixco,Mauricio J.,,H,1971,,Kiliwa Grammar,UC Berkeley dissertation,Inglés,USA,No,descripción,n,Langdon
166,Yumanas,,Persons,David,,H,1973,ms,Dialect intelligibility testing: Yuman languages of Baja California,n,Inglés,USA,No,descripción,n,Langdon
167,Yumanas,,Jiménez Moreno,Wigberto,,H,1974,,Las lenguas y culturas de Baja California,Calafia 2.5.17-35.,Español,México,No,descripción,n,Langdon
168,Yumanas,,Langdon,Margaret,,M,1974,,Comparative Hokan-Coahuiltecan studies: A survey and appraisal,n,Inglés,USA,No,descripción,n,Langdon
169,Kumeyaay,,Hedges,Ken,,H,1975,,Notes on the Kumeyaay: A problem of identification,Journal of California Anthropology 2. 71-83,Inglés,USA,No,descripción,n,Langdon
170,Yavapai,,Kendall,Martha B.,,M,1975,,A preliminary survey of Upland Yuman dialects,Anthropological Linguistics 17.89-101.,Inglés,USA,No,descripción,n,Langdon
171,Kumeyaay,,Langdon,Margaret,,M,1975,,Kamia and Kumeyaay: A linguistic perspective,Journal of California Anthropology 2.64-70.,Inglés,USA,No,descripción,n,Langdon
172,Yumanas,,Lange,Elke,,M,1975,ms,"Have, own, etc. [data on possession in Yuman languages]",n,Inglés,USA,No,descripción,n,Langdon
173,Yumanas,,Robles,Carlos,,H,1975,,Lenguas Hokanas,"Las lenguas de Mexico, ed. by Evangelina Arana de Swadesh 1.129-152. Mexico City: Institute Nacional de Antropología e Historia.",Español,México,No,descripción,n,Langdon
174,Pa ipai,,Joël,Judith,,M,1976,ms,Some recent changes in Paipai.,n,Inglés,USA,No,descripción,n,Langdon
175,Yumanas,,Redden,James E.,,H,1976,,"Proceedings of the First Yuman languages workshop (University Museum Studies, 7)",Carbondale: Southern Illinois University.,Inglés,USA,Si,descripción,n,Langdon
176,Hualapai,,Stenson,Nancy,,M,1976,ms,Hualapai grammar notes,n,Inglés,USA,No,descripción,n,Langdon
177,Cochimi,,Troike,Rudolph C.,,H,1976,,The linguistic classification of Cochimí,"Hokan Studies: Papers from the first conference on Hokan languages, ed. by Margaret Langdon and Shirley Silver 159-164. (Janua Linguarum, Series Practica 181). Chicago: University of Chicago Press.",Inglés,USA,Si,descripción,n,Langdon
178,Yuma,,Langdon,Margaret,,M,1977,,Yuma (Kwtsaan) after 40 years,"Proceedings of the first Yuman languages workshop, ed. by James E. Redden 43-51 (University Museum Studies 11). Carbondale: Southern Dlinois University.",Inglés,USA,No,descripción,n,Langdon
179,Pa ipai,,Mixco,Mauricio J.,,H,1977,,The linguistic affiliation of Ñakipa and Yakakwal of Lower California,International Journal of American Linguistics 43.189-200.,Inglés,USA,Si,descripción,n,Langdon
180,Yumanas,,Redden,James E.,,H,1977,,Proceedings of the 1976 Hokan-Yuman languages workshop. (University Museum Studies 11).,Carbondale: Southern Illinois University.,Inglés,USA,Si,descripción,n,Langdon
181,Cochimi,,Mixco,Mauricio J.,,H,1978,,Cochimi and Proto-Yuman: lexical and syntactic evidence for a new language family in Lower California,University of Utah Anthropological Papers 101,Inglés,USA,Si,descripción,n,Langdon
182,Yumanas,,Ochoa Zazueta,Jesús Angel,,H,1978,,El sistema numeral en las lenguas vernaculares norteninsulares y el sistema numeral básico de los Cochimi-Laymón,n,Español,México,Si,descripción,n,Langdon
183,Yumanas,,Redden,James E.,,H,1978,,Proceedings of the 1977 Hokan-Yuman languages workshop. (Occasional Papers on Linguistics 2).,"Department of Linguistics, Southern Dlinois University Carbondale",Inglés,USA,Si,descripción,n,Langdon
184,Yumanas,,Langdon,Margaret,,M,1979,,Some thoughts on Hokan with particular reference to Pomoan and Yuman,"The languages of NativeAmerica, ed. by Lyle Cambell and Marianne Mithun 592-649. Austin: University of Texas Press",Inglés,USA,No,descripción,n,Langdon
185,Cochimi,,Mixco,Mauricio J.,,H,1979,,Northern Cochimi dialectology and Proto-Yuman,Journal of California and Great Basin Anthropology Papersin Linguistics 1.39-64.,Inglés,USA,No,descripción,n,Langdon
186,Yumanas,,Redden,James E.,,H,1979,,Proceedings of the 1978 Hokan languages workshop (Occasional Papers on Linguistics 5).,"Department ofLinguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,descripción,n,Langdon
187,Yumanas,,Langdon,Margaret,Pamela Munro,M,1980,,Yuman numerals,"American Indian and lndoeuropean studies, ed. by Kathryn Klar, Margaret Langdon, and Shirley Silver 121-135. The Hague: Mouton.",Inglés,USA,No,descripción,n,Langdon
188,Yumanas,,Redden,James E.,,H,1980,,Proceedings of the 1979 Hokan languages workshop (Occasional Papers on Linguistics 7).,"Department ofLinguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,descripción,n,Langdon
189,Yumanas,,Redden,James E.,,H,1981,,Proceedings of the 1980 Hokan languages workshop (Occasional Papers on Linguistics 9).,"Department ofLinguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,descripción,n,Langdon
190,n,,Munro,Pamela,,M,1982,,On the transitivity of 'say',"Studies in transitivity, ed. by Paul J. Hopper and Sandra A. Thompson 301-318 (Syntax and semantics series). New York: Academic Press.",Inglés,USA,No,descripción,n,Langdon
191,Yumanas,,Redden,James E.,,H,1982,,Proceedings of the 1981 Hokan languages workshop and Penutian languages conference. (Occasional Papers on Linguistics 10).,"Department ofLinguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,descripción,n,Langdon
192,Hualapai,,Watahomigie,Lucille J.,"Jorigine Bender, Akira Yamamoto",M,1982,,Hualapai Reference Grammar,"American Indian Studies Center, UCLA.",Inglés,USA,No,descripción,n,Langdon
193,Yumanas,,Ochoa Zazueta,Jesús Angel,,H,1982,,Baja California: diferenciación lingüística,"Universidad Occidente, México, 1982. Sociolingüística.",Español,México,No,descripción,n,lingmex
194,n,,Munro,Pamela,John Haiman,M,1983,,Switch reference and universal grammar,Philadelphia: John Benjamins Publishing Company.,Inglés,USA,Si,descripción,n,Langdon
195,Yumanas,,Redden,James E.,,H,1983,,Proceedings of the 1982 Conference on Far Western American Indian languages. (Occasional Papers on Linguistics 11 ) ,"Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,descripción,n,Langdon
196,Yumanas,,Shaterian,Alana,,H,1983,ms,The Pai dialects,n,Inglés,USA,No,descripción,n,Langdon
197,Havasupai,,Hinton,Leanne,,M,1984,,Havasupai songs: a linguistic perspective,Gunter Narr Verlag: Tii>ingen.,Inglés,USA,No,descripción,n,Langdon
198,Yumanas,,Hinton,Leanne,,M,1984,,Language convergence between closely related languages: a case study in Yuman,Berkeley Linguistic Society 10:285-295.,Inglés,USA,No,descripción,n,Langdon
199,Yumanas,,Hinton,Leanne,,M,1985,,The prehistory of Yuman *r.,"Studia Linguistica Diachronica et Synchronica, ed. by Ursula Pieper and Gerhard Stickel 355-375. Berlin, New York, Amsterdam: Mouton de Gruyter.",Inglés,USA,No,descripción,fonología,Langdon
200,Yumanas,,Redden,James E.,,H,1986,,"Papers from the 1983, 1984, and 1985 Hokan-Penutian Languages Conferences. (Occasional Papers on Linguistics, 13).","Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,descripción,n,Langdon
201,n,,Hinton,Leanne,,M,1988,,Living California Indian languages,News from Native California 1.6.22-23,Inglés,USA,No,descripción,n,Langdon
202,n,,Munro,Pamela,,M,1988,,Diminutive syntax.,"In honor of Mary Haas-From the Haas Festival Conference on Native American Linguistics, ed. by William Shipley 539-556. Berlin: Mouton de Gruyter.",Inglés,USA,No,descripción,n,Langdon
203,Yumanas,,Redden,James E.,,H,1988,,Papers from the 1987 Hokan-Penutian languages workshop and Friends of Uta-Aztecan workshop. (Occasional Papers on Linguistics 14).,"Department of Linguistics, Southern Illinois University Carbondale",Inglés,USA,Si,descripción,n,Langdon
204,Yumanas,,Hinton,Leanne,,M,1989,,California counting,News from Native California 3.1.25-27,Inglés,USA,No,descripción,n,Langdon
205,Yumanas,,Hinton,Leanne,,M,1989,,Language families in California,News from Native California 3.3.28-30,Inglés,USA,No,descripción,n,Langdon
206,Diegueño,,Langdon,Margaret,,M,1990,,Diegueño: how many languages?,"Proceedings of the 1990 Hokan-Penutian languages workshop 184-190,ed. by James E. Redden. (Occasional Papers on Linguistics 15). Department of Linguistics, Southern Illinois University at Carbondale.",Inglés,USA,No,descripción,n,Langdon
207,Diegueño,,Miller,Amy,,M,1990,,A Grammar of Jamul Diegueño,UC San Diego dissertation,Inglés,USA,No,descripción,n,Langdon
208,Diegueño,,Miller,Amy,,M,1990,,Some differences between two speakers of Jamul Diegueño.,"Proceedings of the 1990 Hokan-Penutian languages workshop, ed by James E. Redden 23-31. (Occasional Papers on Linguistics 15). Department of Linguistics, Southern Illinois University at Carbondale.",Inglés,USA,Si,descripción,n,Langdon
209,Yumanas,,Redden,James E.,,H,1990,,Proceedings of the 1990 Hokan-Penutian languages workshop. (Occasional Papers on Linguistics 15).,Department of Linguistics: Southern Illinois University Carbondale,Inglés,USA,Si,descripción,n,Langdon
210,Yumanas,,Redden,James E.,,H,1991,,Papers from the American Indian conferences held at UC Santa Cruz. (Occasional Papers on Linguistics 16),"Department of Linguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,descripción,n,Langdon
211,Yumanas,,Redden,James E.,,H,1992,,"Papers from the 1992 Hokan-Penutian Languages Conference and the J.P Harrington Conference at UCSB and Museum of Natural History, Santa Barbara. (Occasional Papers on Linguistics 17).","Department of Linguistics, Southern Illinois University Carbondale.",Inglés,USA,Si,descripción,n,Langdon
212,Yumanas,,Langdon,Margaret,Leanne Hinton,M,1993,,"Proceedings of the meeting of the Society for the Study of the Indigenous Languages of the Americas July 2-4, 1993 and the Hokan-Penutian workshop July 3, 1993. Report 8: Survey of California and Other Indian Languages.",n,Inglés,USA,No,descripción,n,Langdon
213,Kiliwa,,Mixco,Mauricio J.,,H,1996,,"Kiliwa del Arroyo León, Baja California",,Español,México,No,descripción,n,lingmex
214,Yumanas,,Don,Laylander,,H,1997,,The linguistic prehistory of Baja California,n,Inglés,USA,No,descripción,n,propio
215,Kiliwa,,Mixco,Mauricio J.,,H,2000,,Kiliwa,"München : Lincom Europa, 68p.",Inglés,Alemania,No,descripción,n,lingmex
216,Yumanas,,Buenrostro,Cristina,"Enrique Fernando Nava López, Juan José Rendón Monzón, Leopoldo Valiñas Coalla, María Aideé Vargas Monroy, Otto Schumann Gálvez, Samuel Herrera Castro, Yolanda Lastra",M,2007,,Clasificación de las lenguas indígenas de México.,"Memorias del III Coloquio Internacional de Lingüística Mauricio Swadesh. Universidad Nacional Autónoma de México-Instituto Nacional de Lenguas Indígenas, México, 2007, 304 pp. + 1 disco compacto. + anexo de mapas. Tipología, Lingüística Histórica, Dialectología y Geografía Lingüística, Fonética y Fonología y Historiografía Lingüística. Lenguas Mexicanas: Zapotecas; Zapoteco; Chontal; Mazahua; Otomí; Ocuilteco/Tlahuica/Atzinca; Mixteco; Cochimí y Lenguas Amerindias: Hokanas.",Español,México,No,descripción,n,lingmex
217,Cochimi,,Mixco,Mauricio J.,,H,2007,,El cochimí del norte: comprobante de la clasificación cochimí-protoyumana,"en Clasificación de las lenguas indígenas de México. Memorias del III Coloquio Internacional de Lingüística Mauricio Swadesh, Eds. Enrique Fernando Nava López, Juan José Rendón Monzón, Cristina Buenrostro, María Aideé Vargas Monroy, Otto Schumann Gálvez, Samuel Herrera Castro, Yolanda Lastra y Leopoldo Valiñas Coalla. Universidad Nacional Autónoma de México-Instituto Nacional de Lenguas Indígenas, México, 2007, pp. 193-206. Tipología y Lingüística Histórica. Lenguas Mexicanas: Cochimí y Lenguas Amerindias: Yumanas.",Español,México,No,descripción,n,lingmex
218,Pa ipai,,Ibáñez Bravo,María Elena,,M,2009,,Guía gramatical para la enseñanza de la lengua paipai. Manual para el docente.,Instituto de Servicios Educativos y Pedagógicos de Baja California: Mexicali.,Español,México,Si,descripción,n,propio
219,Diegueño,,Leyva González,Ana Daniela,,M,2010,ms,Variación lingüística de el kumiai de Baja California,"Paper presented at the XI Encuentro Binacional: Balances y Perspectivas, Ensenada.",Español,México,No,descripción,n,bajacalifology
220,Pa ipai,,Ibáñez Bravo,María Elena,,M,2010,,Documento descriptivo de las generalidades fonológicas y morfológicas del paipai,Contrato INALI.C.B.17/021/0210. INALI: México.  Edición preliminar.,Español,México,Si,descripción,n,propio
221,Yumanas,,Yee Sánchez,Silvia Consuelo,,M,2010,,Tipología del cambio de referencia en las lenguas hokanas,"Instituto Nacional de Antropología e Historia, México, 2010, 116 pp. (Coleccion Cientifica, 562. Serie Linguistica). Tipología y Morfosintaxis. Lenguas Amerindias: Hokanas.",Español,México,Si,descripción,n,lingmex
222,Kiliwa,,Mixco,Mauricio J.,,H,2014,,Introduction to the Kiliwa Language," Amerindia, 37 (2014), núm. 1",Inglés,Francia,Si,descripción,n,lingmex
223,Yumanas,,Reyes Gómez,Laureano,Susana Villasana Benítez,H,2015,,"La enseñanza oral del cochimí, kumiai, cucapá, pai-pai, kiliwa como segunda lengua. "," S.E.P. Dirección General de Educación Indígena, Ensenada, Baja California.",Español,México,Si,descripción,n,bajacalifology
224,Kiliwa,,Estrada Ramirez,Arnulfo,,H,2018,,Lengua y Cultura Kiliwa,n,Español,México,Si,descripción,n,bajacalifology
225,Hualapai,,Honga,Jane C.,Akira Yamamoto,M,nd,ms,Let's learn how to write and read Hualapai,n,Inglés,USA,No,descripción,n,Langdon
226,Hualapai,,Honga,Jane C.,Akira Yamamoto,M,nd,ms,Pedagogical material on Hualapai,n,Inglés,USA,No,descripción,n,Langdon
227,Yumanas,,Langacker,Ronald W.,,H,nd,ms,Cognitive grammar meets the Yuman auxiliary. [to appear],n,Inglés,USA,No,descripción,n,Langdon
228,Cocopa,,Nevers,Carole,,M,nd,ms,Transformational paradigms of some Cocopa sentence types,n,Inglés,USA,No,descripción,n,Langdon
229,Walapai,,Redden,James E.,,H,nd,ms,Walapai field notes,n,Inglés,USA,No,descripción,n,Langdon
230,Hualapai,,Stenson,Nancy,,M,nd,ms,Hualapai grammar notes and lessons plans,n,Inglés,USA,No,descripción,n,Langdon
231,Diegueño,Yuma,Whipple,A. W.,,S,1850,,"Extract from a journal of an expedition from San Diego, California, to the Rio Colorado.","Report of the Secretary of War 2-28. Washington: Government Printing Office. [Vocabularies of Diegueño and Yuma]. (Reprinted in The Whipple Report, with introduction, notes and bibliography by E.I. Edwards. Los Angeles: Westernlore Press, 1961. There are some discrepancies in some entries in the wordlists.]",Inglés,USA,No,documentación,n,Langdon
232,Yumanas,,Whipple,A. W.,,S,1855,,Report upon the Indian tribes.,"U.S. Dept. of War, Reports of Explorations and Surveysl-27 (Pacific Railroad Reports 3). Washington: Government Printing Office. [Word lists in ""Cuchan"", Mojave, Maricopa and Diegueño.)",Inglés,USA,No,documentación,n,Langdon
233,Diegueño,,Taylor,Alexander S.,,H,1860,,California notes: The indianology of California.,"California Farmer, vols.13-16 passim. [Diegueño and Yuma vocabularies from Whipple 1850)",Inglés,USA,No,documentación,n,Langdon
234,Yumanas,,Kroeber,A. L.,,H,1906,,Two myths of the Mission Indians,Journal of American Folklore 19.304-321.,Inglés,USA,No,documentación,n,Langdon
235,Yuma,,Harrington,John P.,,H,1908,,A Yuma account of origin,Journal of American Folklore 21.324-348,Inglés,USA,Si,documentación,n,Langdon
236,Diegueño,,Waterman,Thomas T.,,H,1910,,The religious practices of the Diegueño Indians,University of California Publications in American Archaeology and Ethnology 8.271- 359. [Has some words in the language. Makes observations on Diegueño dialects.],Inglés,USA,No,documentación,n,Langdon
237,Havasupai,,Spier,Leslie,,M,1924,,Havasupai texts.,International Journal of American Linguistics 3.109-116,Inglés,USA,Si,documentación,n,Langdon
238,Diegueño,,Harrington,John P.,,H,1925,,"Notes on Diegueño--miscellaneous notes on people, places, names of months, etc, collected in Diegueño territory","(at least part dated August 5, 1925; xerox copy on legal-sized paper, over 100 pages long. Harwell, Henry O.)",Inglés,USA,No,documentación,n,Langdon
239,Yuma,,Halpern,A. M.,,H,1941,,An alphabet for writing the Quechan language,"Quechan News. V. 16 April (6 mimeographed pages). Published by the Quechan Tribal Council, Fort Yuma Indian Reservation, Yuma, Arizona",Inglés,USA,No,documentación,n,Langdon
240,Havasupai,Maricopa,Spier,Leslie,,M,1946,,Comparative Vocabularies and Parallel Texts in two Yuman Languages of Arizona,Albuquerque: University of New Mexico Press. [Havasupai and Maricopa].,Inglés,USA,No,documentación,n,Langdon
241,Yumanas,,Kroeber,A. L.,,H,1948,,Seven Mohave myths,Anthropological Records 11 .1-70.,Inglés,USA,No,documentación,n,Langdon
242,Yumanas,,Kroeber,A. L.,,H,1951,,A Mohave historical epic.,Anthropological Records 11 No. 2.,Inglés,USA,No,documentación,n,Langdon
243,Diegueño,,Jacobsen,"William H., Jr.",,H,1952,,Diegueño fieldnotes,n,Inglés,USA,No,documentación,n,Langdon
244,Diegueño,,Hayes,A. S.,,S,1954,,Field procedures while working with Diegueño,International Journal of American Linguistics 20.185-194,Inglés,USA,Si,documentación,n,Langdon
245,Pa ipai,,Joël,Judith,,M,1959,ms,Paipai texts: books 1-V.,n,Inglés,USA,No,documentación,n,Langdon
246,Diegueño,,Taylor,Alexander S.,,H,1960,,The lndianology of California,"The California Farmer 13.13.98 (May 18, 1860) [Diegueño wordlist from Mission San Miguel, Baja California.]",Inglés,USA,No,documentación,n,Langdon
247,Walapai,,Winter,Werner,,H,1963,,Stories and songs of the Walapai,Plateau 35.114-122.,Inglés,USA,No,documentación,n,Langdon
248,Yumanas,,Robles,Carlos,,H,1964,,Investigación lingüística sobre los grupos indígenas del estado de Baja California,"Anales 17.275-301.Mexico: Institute Nacional de Antropologia e Historica. [Includes parallel vocabularies in Paipai, Ko'al ,Cochimí, Cocopa, and Kiliwa.]",Español,México,No,documentación,n,Langdon
249,Walapai,,Winter,Werner,,H,1966,,Yuman languages II: Wolf's son-a Walapai text,International Journal of American Linguistics 32.17-40.,Inglés,USA,Si,documentación,n,Langdon
250,Cocopa,,Nevers,Carole,,M,1967,ms,Some Cocopa clause batteries,n,Inglés,USA,No,documentación,n,Langdon
251,Diegueño,,Walker,Douglas W.,,H,1969,ms,Diegueño Field Notes.,"George Hyde, consultant.",Inglés,USA,No,documentación,n,Langdon
252,Havasupai,,Hinton,Leanne,,M,1970,,Havasupai field notes,n,Inglés,USA,No,documentación,n,Langdon
253,Havasupai,,Hanna,Dan,Leanne Hinton,H,1971,,Havasupai medicine song,Alcheringa 3.68-75,Inglés,USA,No,documentación,n,Langdon
254,Havasupai,,Hinton,Leanne,,M,1971,,Havasupai medicine song,Alcheringa 3.68-75,Inglés,USA,No,documentación,n,Langdon
255,Yumanas,,Kroeber,A. L.,,H,1972,,More Mohave myths.,Anthropological Records 27.,Inglés,USA,No,documentación,n,Langdon
256,Cocopa,,Trujillo,Benjamín,,H,1974,,Notas para el estudio de la lengua cucapá del Mayor Indígena B.C,"Universidad Autónoma de Baja California, Mexicali, 1974. Lingüística Histórica. Lenguas Amerindias: Cucapá.",Español,México,No,documentación,n,lingmex
257,Pa ipai,,Joël,Judith,,M,1975,,Some Paipai accounts of food gathering.,Journal of California Anthropology 3.59-71.,Inglés,USA,Si,documentación,n,Langdon
258,Pa ipai,,Joël,Judith,,M,1975,ms,Paipai field notes,n,Inglés,USA,No,documentación,n,Langdon
259,Yavapai,,Kendall,Martha B.,A.V. Shaterian,M,1975,,Yavpe alphabet book.,Yavapai Tribe,Inglés,USA,No,documentación,n,Langdon
260,Diegueño,,Langdon,Margaret,,M,1975,,Fragment of traditional Diegueño funerary oration,Journal of California Anthropology 2.5.,Inglés,USA,No,documentación,n,Langdon
261,Pa ipai,,Ochurte,Rufino,,H,1975,ms,Creation of the world: Paipai rendition.,n,Inglés,USA,No,documentación,n,Langdon
262,Walapai,,Seiter,Bill,,H,1975,ms,Walapi field notes,n,Inglés,USA,No,documentación,n,Langdon
263,Yuma,,Halpern,A. M.,,H,1976,,Kukumat became sick-- A yuma text,"Yuman Texts , ed. By Margaret Langdon 5-25 (IJAL-NATS 1.3). Chicago: University of Chicago Press",Inglés,USA,Si,documentación,n,Langdon
264,Yuma,,Halpern,A. M.,,H,1976,ms,Xanavci:p (transcript of a Quechan tape),n,Inglés,USA,No,documentación,n,Langdon
265,Maricopa,,Harwell,Henry O,,H,1976,ms,Field notes on Maricopa,n,Inglés,USA,No,documentación,n,Langdon
266,Diegueño,,Hinton,Leanne,,M,1976,,The tar baby story (Diegueño).,"Yuman texts, ed. By Margaret Langdon 101-106 (IJAL-NATS 1.3). Chicago: University of Chicago Press",Inglés,USA,Si,documentación,n,Langdon
267,Diegueño,,Jacobs,Roderick A.,,H,1976,,Hattepaa Hellyaaw--The rabbit and the coyote,"Yuman texts, ed. by Margaret Langdon 107-112 (IJAL NATS 1.3). Chicago: University of Chicago Press.",Inglés,USA,Si,documentación,n,Langdon
268,Pa ipai,,Joël,Judith,,M,1976,,The earthquake of '57: A Paipai text,"Yuman texts, ed. by Margaret Langdon 84-91 (IJAL-NATS 1.3). Chicago: University of Chicago Press.",Inglés,USA,Si,documentación,n,Langdon
269,Yumanas,,Kendall,Martha B.,William L. Coleman,M,1976,,Directions in the study of Upland Yuman.,"Hokan studies, ed. by Margaret Langdon and Shirley Silver 95-102 (Janua Linguarum-Series Practica 181). The Hague: Mouton.",Inglés,USA,No,documentación,n,Langdon
270,Yavapai,,Kendall,Martha B.,,M,1976,,Skara Kʔa·mca-The Lofty Wanderer (Yavapai).,"Yuman Texts, ed. by Margaret Langdon 68-83 (IJAL NATS1.3). Chicago: University of Chicago Press.",Inglés,USA,No,documentación,n,Langdon
271,Havasupai,,Kozlowski,Edwin,,H,1976,,Three Havasupai tales.,"Yuman Texts, ed. by Margaret Langdon 51-60 (IJAL-NATS 1.3). Chicago:University of Chicago Press.",Inglés,USA,No,documentación,n,Langdon
272,Diegueño,,Langdon,Margaret,,M,1976,,The story of Eagle's Nest-A Diegueño text,"Yuman texts, ed. by Margaret Langdon 113-133 (IJAL NATS 1.3). Chicago: University of Chicago Press.",Inglés,USA,No,documentación,n,Langdon
273,Yumanas,,Langdon,Margaret,,M,1976,,Yuman texts,(IJAL-NATS 3.1) Chicago: University of Chicago Press.,Inglés,USA,No,documentación,n,Langdon
274,Pa ipai,,Mixco,Mauricio J.,,H,1976,ms,Ethnographic texts in Paipai,n,Inglés,USA,No,documentación,n,Langdon
275,Kiliwa,,Mixco,Mauricio J.,,H,1976,,Kiliwa texts,"Yuman texts, ed. by Margaret Langdon 92-100 (IJAL-NATS 1.3). Chicago: University of Chicago Press",Inglés,USA,Si,documentación,n,Langdon
276,Mojave,,Munro,Pamela,,M,1976,,Two stories by Nellie Brown,"Yuman Texts, ed. by Margaret Langdon 43-50. (UAL-NATS 1.3). Chicago:University of Chicago Press.",Inglés,USA,No,documentación,n,Langdon
277,Tolkapaya,,Munro,Pamela,,M,1976,,"Tolkapaya fieldnotes [Molly Fasthorse, consultant]",n,Inglés,USA,No,documentación,n,Langdon
278,Cocopa,,Ochoa Zazueta,Jesús Angel,,H,1976,,Nñupiñ sa'pei auñur o'as-Esta es la escritura Cucapá,"Colección Paisano, (Cuadernos de trabajo I). Mexicali: Universidad Autónoma de Baja California. [Literacy materials in Cocopa.]",Español,México,Si,documentación,n,Langdon
279,Pa ipai,,Ochoa Zazueta,Jesús Angel,,H,1976,,Ya' abú tinñur jaspuy'pai-Esta es la escritura Pai'pai.,"Colección Paisano, (Cuadernos de trabajo 2). Mexicali: Universidad Autónoma de Baja California. [Literacy materials in Paipai.]",Español,México,Si,documentación,n,Langdon
280,Kumiay,,Ochoa Zazueta,Jesús Angel,,H,1976,,Pia'á o'mal k'miai wi'-Esta es la escritura K'miai,"Colección Paisano, (Cuadernos de trabajo 3). Mexicali: Universidad Autónoma de Baja California. [Literacy materials in Diegueño.]",Español,México,Si,documentación,n,Langdon
281,Yuma,,Slater,Carol,,M,1976,ms,Kwatsaan field notes.,n,Inglés,USA,No,documentación,n,Langdon
